Date,Time,Open,High,Low,Close,FinalDecision,HiLo,HiLoDec,Macd,Signal,Histogram,MacdDec,Rsi,RsiMa,pairA,pairB,Revenue,Loss,Profit,+Trades,-Trades
17/8/2017 10:00:00 am +10:00,1502928000,301.13,312.18,298,302,-,-,-,,,,-,,,0,100,0,0,0,0,0
18/8/2017 10:00:00 am +10:00,1503014400,302,311.79,283.94,293.96,-,-,idle,,,,-,,,0,100,0,0,0,0,0
19/8/2017 10:00:00 am +10:00,1503100800,293.96,299.9,278,290.91,-,-,idle,,,,-,,,0,100,0,0,0,0,0
20/8/2017 10:00:00 am +10:00,1503187200,290.91,300.53,282.85,299.1,-,-,idle,,,,-,,,0,100,0,0,0,0,0
21/8/2017 10:00:00 am +10:00,1503273600,299.1,346.52,294.6,323.29,-,-,idle,,,,-,,,0,100,0,0,0,0,0
22/8/2017 10:00:00 am +10:00,1503360000,323.29,330.41,144.21,309.8,-,-,idle,,,,-,,,0,100,0,0,0,0,0
23/8/2017 10:00:00 am +10:00,1503446400,312.25,324.99,309.41,315.74,-,-,idle,,,,-,,,0,100,0,0,0,0,0
24/8/2017 10:00:00 am +10:00,1503532800,315.74,328.04,314.01,323.42,-,-,idle,,,,-,,,0,100,0,0,0,0,0
25/8/2017 10:00:00 am +10:00,1503619200,323.42,338.28,323.42,327.24,-,-,idle,,,,-,,,0,100,0,0,0,0,0
26/8/2017 10:00:00 am +10:00,1503705600,327.24,335.44,323.41,330.79,-,-,idle,,,,-,,,0,100,0,0,0,0,0
27/8/2017 10:00:00 am +10:00,1503792000,332.18,348.13,330.73,348.13,-,-,idle,,,,-,,,0,100,0,0,0,0,0
28/8/2017 10:00:00 am +10:00,1503878400,348.11,351,331.95,346,-,-,idle,,,,-,,,0,100,0,0,0,0,0
29/8/2017 10:00:00 am +10:00,1503964800,346,377.6,346,374.7,-,-,idle,,,,-,,,0,100,0,0,0,0,0
30/8/2017 10:00:00 am +10:00,1504051200,374.7,393.71,362.05,385.93,-,-,idle,,,,-,,,0,100,0,0,0,0,0
31/8/2017 10:00:00 am +10:00,1504137600,384.64,389.36,377.78,384.79,-,-,idle,,,,-,,,0,100,0,0,0,0,0
1/9/2017 10:00:00 am +10:00,1504224000,384.79,394.39,383.18,388.46,-,hh,idle,,,,-,,,0,100,0,0,0,0,0
2/9/2017 10:00:00 am +10:00,1504310400,388.46,394.32,320.08,343.14,-,-,idle,,,,-,,,0,100,0,0,0,0,0
3/9/2017 10:00:00 am +10:00,1504396800,343.14,367.28,320.08,341.77,-,-,idle,,,,-,,,0,100,0,0,0,0,0
4/9/2017 10:00:00 am +10:00,1504483200,341.77,344.55,267.94,283.77,-,-,idle,,,,-,,,0,100,0,0,0,0,0
5/9/2017 10:00:00 am +10:00,1504569600,286.81,321.52,235.55,312.09,-,hl,idle,,,,-,,,0,100,0,0,0,0,0
6/9/2017 10:00:00 am +10:00,1504656000,313.29,336.34,312.09,335,-,-,idle,,,,-,,,0,100,0,0,0,0,0
7/9/2017 10:00:00 am +10:00,1504742400,335,342.5,320.17,334.49,-,lh,idle,,,,-,,,0,100,0,0,0,0,0
8/9/2017 10:00:00 am +10:00,1504828800,334.49,335.1,272,302.99,-,-,idle,,,,-,,,0,100,0,0,0,0,0
9/9/2017 10:00:00 am +10:00,1504915200,302.99,307,281.66,296.74,-,-,idle,,,,-,,,0,100,0,0,0,0,0
10/9/2017 10:00:00 am +10:00,1505001600,296.72,302.78,261.03,293.5,-,hl,idle,,,,-,,,0,100,0,0,0,0,0
11/9/2017 10:00:00 am +10:00,1505088000,293.5,304.98,285.21,297.3,-,-,idle,,,,-,,,0,100,0,0,0,0,0
12/9/2017 10:00:00 am +10:00,1505174400,297.3,316.46,286.01,293.96,-,lh,idle,,,,-,,,0,100,0,0,0,0,0
13/9/2017 10:00:00 am +10:00,1505260800,293.96,294.5,257.05,276.91,-,-,idle,,,,-,,,0,100,0,0,0,0,0
14/9/2017 10:00:00 am +10:00,1505347200,276.91,283.77,215,215.21,-,-,idle,,,,-,,,0,100,0,0,0,0,0
15/9/2017 10:00:00 am +10:00,1505433600,217,270.93,192,253,-,ll,idle,,,,-,,,0,100,0,0,0,0,0
16/9/2017 10:00:00 am +10:00,1505520000,255.99,271.81,235.51,249.31,-,-,idle,,,,-,,,0,100,0,0,0,0,0
17/9/2017 10:00:00 am +10:00,1505606400,249.31,264.39,239.02,257.55,-,-,idle,,,,-,,,0,100,0,0,0,0,0
18/9/2017 10:00:00 am +10:00,1505692800,257.55,306.22,257.11,294.57,-,lh,idle,,,,-,,,0,100,0,0,0,0,0
19/9/2017 10:00:00 am +10:00,1505779200,294.57,300,277.41,284,-,-,idle,,,,-,,,0,100,0,0,0,0,0
20/9/2017 10:00:00 am +10:00,1505865600,284.01,294,275.91,282,-,-,idle,,,,-,,,0,100,0,0,0,0,0
21/9/2017 10:00:00 am +10:00,1505952000,282,287,252.1,257,-,hl,idle,,,,-,,,0,100,0,0,0,0,0
22/9/2017 10:00:00 am +10:00,1506038400,257,272.97,253.01,264,-,-,idle,,,,-,,,0,100,0,0,0,0,0
23/9/2017 10:00:00 am +10:00,1506124800,264,286.23,255.11,285.93,-,-,idle,,,,-,,,0,100,0,0,0,0,0
24/9/2017 10:00:00 am +10:00,1506211200,285.93,294.61,275,282,-,-,idle,,,,-,,,0,100,0,0,0,0,0
25/9/2017 10:00:00 am +10:00,1506297600,282,299,281.34,294.42,-,-,idle,,,,-,,,0,100,0,0,0,0,0
26/9/2017 10:00:00 am +10:00,1506384000,294.42,296.81,286.24,287.9,-,-,idle,,,,-,,,0,100,0,0,0,0,0
27/9/2017 10:00:00 am +10:00,1506470400,289.91,313,286.13,309.74,-,hh,idle,,,,-,,,0,100,0,0,0,0,0
28/9/2017 10:00:00 am +10:00,1506556800,309.74,311.81,296.89,302.44,-,-,idle,,,,-,,,0,100,0,0,0,0,0
29/9/2017 10:00:00 am +10:00,1506643200,302.44,303,274,292.22,-,hl,idle,,,,-,,,0,100,0,0,0,0,0
30/9/2017 10:00:00 am +10:00,1506729600,292.62,307.49,292.22,304.36,-,-,idle,,,,-,,,0,100,0,0,0,0,0
1/10/2017 11:00:00 am +11:00,1506816000,304.36,306,294,303.95,-,-,idle,,,,-,,,0,100,0,0,0,0,0
2/10/2017 11:00:00 am +11:00,1506902400,303.94,305,295,296.5,-,-,idle,,,,-,,,0,100,0,0,0,0,0
3/10/2017 11:00:00 am +11:00,1506988800,298.15,301.99,283.18,292.48,-,-,idle,,,,-,,,0,100,0,0,0,0,0
4/10/2017 11:00:00 am +11:00,1507075200,292.47,297.97,288,291.99,-,-,idle,,,,-,,,0,100,0,0,0,0,0
5/10/2017 11:00:00 am +11:00,1507161600,290,297.44,285.53,294.81,-,-,idle,,,,-,,,0,100,0,0,0,0,0
